galex_objid,sdss_objid,ra,dec,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,subclass
2.49018E+18,1.23767E+18,189.2668423,27.48405164,21.02692032,20.28857231,20.14367485,20.16461945,19.91030121,0.072818935,0.056740019,0.039252482,0.029168801,0.021696229,24.04459572,-999,QSO,BROADLINE
2.49018E+18,1.23767E+18,189.0582395,27.56055444,26.3776226,20.61309433,18.9400692,18.29436874,17.96873474,0.072969526,0.056857362,0.03933366,0.029229125,0.0217411,23.71430016,-999,GALAXY,null
2.49018E+18,1.23767E+18,188.4394165,27.63343851,24.21854782,22.02404594,20.44211578,19.39302635,18.93644905,0.072094046,0.056175195,0.03886174,0.028878437,0.021480251,22.91598129,-999,GALAXY,null
2.49018E+18,1.23767E+18,188.3229109,27.84477473,22.62885666,21.14969635,21.04259872,20.90428734,21.08148766,0.0692828,0.053984687,0.037346356,0.027752345,0.020642646,23.08366776,-999,STAR,F0IV (81937)
2.49018E+18,1.23767E+18,189.6080607,27.89514673,21.88188744,20.35178947,18.84945107,18.17364311,17.73399544,0.063763186,0.049683839,0.034371052,0.025541374,0.01899809,22.63669968,-999,GALAXY,null
2.49018E+18,1.23767E+18,189.6090117,27.95301135,21.56389236,20.47509956,20.35629463,20.26753998,20.19630432,0.06458912,0.050327405,0.034816269,0.025872217,0.019244177,23.69344521,-999,STAR,F0IV (81937)
2.49018E+18,1.23767E+18,189.1314873,28.17277594,20.77438736,18.70387459,17.46017265,17.00892067,16.71937561,0.070545159,0.054968312,0.038026825,0.028258005,0.021018764,23.66146851,-999,GALAXY,null
2.49018E+18,1.23767E+18,189.1124136,28.23452847,25.74878883,22.38827705,20.38274193,19.41958427,18.88448143,0.073846735,0.057540879,0.039806515,0.029580506,0.022002462,24.11446381,-999,GALAXY,null
2.49018E+18,1.23767E+18,189.1501297,28.38339659,23.43315125,21.73434448,20.13903046,19.10267448,18.60086441,0.08310353,0.064753704,0.044796314,0.033288464,0.024760501,23.4997921,-999,GALAXY,null
2.49018E+18,1.23767E+18,189.2262262,27.98193304,23.35696602,22.047575,20.23271561,19.30045509,18.90034866,0.068317495,0.053232528,0.036826018,0.027365677,0.020355036,-999,24.56698608,GALAXY,null
2.49018E+18,1.23767E+18,189.1474224,27.9261232,25.52197456,22.07837868,20.71195984,19.71505547,19.43020821,0.071250968,0.055518273,0.038407285,0.028540729,0.021229059,23.3980751,23.90902328,GALAXY,null
2.49018E+18,1.23767E+18,189.3825613,28.13534276,22.57093048,20.68501282,19.33090401,18.579216,18.32278061,0.074248575,0.057853989,0.040023122,0.029741468,0.022122189,22.71674347,23.60665321,GALAXY,null
2.49018E+18,1.23767E+18,188.8976817,28.34295367,21.33883095,19.2922287,17.79748726,17.23928452,16.7840271,0.061284687,0.047752615,0.033035036,0.024548573,0.018259628,23.06257248,23.06083679,GALAXY,BROADLINE
2.49049E+18,1.23766E+18,190.3389531,40.74051253,23.67878532,23.69754791,21.83550835,20.75736237,19.9334507,0.072875895,0.056784403,0.039283186,0.029191617,0.021713201,23.14686584,-999,GALAXY,null
2.49049E+18,1.23766E+18,189.7900632,41.26118515,26.55781364,22.87088776,21.15189552,20.15136528,19.51042747,0.083315991,0.064919256,0.044910841,0.033373568,0.024823802,23.06553268,-999,GALAXY,null
2.49049E+18,1.23766E+18,191.2217008,41.26644663,20.52009773,20.43336678,20.43397713,20.18835258,20.01835442,0.061996944,0.048307598,0.033418972,0.024833879,0.018471843,24.30391693,-999,QSO,BROADLINE
2.49049E+18,1.23766E+18,190.257127,41.27948723,22.88350296,22.82164574,23.17272377,21.29591751,19.87099648,0.095765464,0.0746198,0.051621635,0.038360406,0.028533095,24.27099228,-999,GALAXY,null
2.49049E+18,1.23766E+18,190.3334389,41.33546673,21.95728683,21.34632301,20.22879028,19.46601486,19.10214233,0.081370354,0.063403234,0.04386206,0.032594211,0.024244105,22.96530151,-999,GALAXY,null
2.49049E+18,1.23766E+18,190.8485102,41.38823871,23.27353668,22.2677536,21.26729012,19.99135399,19.24054337,0.074504375,0.058053304,0.040161006,0.029843932,0.022198403,23.59037781,-999,QSO,null
2.49049E+18,1.23766E+18,190.9099494,41.40612351,23.12685776,21.60923004,19.70099831,19.00348473,18.52729797,0.07854709,0.061203361,0.0423402,0.031463306,0.02340292,23.66572189,-999,GALAXY,null
2.49049E+18,1.23766E+18,191.2074001,41.41828559,21.5794239,21.06927299,20.83678627,20.40030098,20.69234276,0.06772881,0.05277383,0.036508691,0.02712987,0.020179639,24.05117989,-999,QSO,null
2.49049E+18,1.23766E+18,189.8613678,41.49711053,24.18056297,22.02790833,22.18784332,22.08968544,22.12159538,0.087799527,0.068412796,0.047327656,0.035169519,0.026159663,24.07115555,-999,STAR,WDmagnetic
2.49049E+18,1.23766E+18,191.0817768,41.51203141,26.70118523,19.89429474,18.29157066,17.58429337,17.2304554,0.067893833,0.052902412,0.036597643,0.027195971,0.020228807,23.93948364,-999,GALAXY,null
2.49049E+18,1.23766E+18,190.4648024,41.61018208,22.88598824,22.95401001,21.59784126,20.54713631,19.88075066,0.076028064,0.059240554,0.04098234,0.030454272,0.022652384,23.6867981,-999,GALAXY,null
2.49049E+18,1.23766E+18,190.6085562,41.89628478,22.53956032,21.54225922,21.06307793,20.9166851,20.61392784,0.080891326,0.063029975,0.043603845,0.032402329,0.02410138,23.60400772,-999,STAR,F8V (G_243-63)
2.49049E+18,1.23766E+18,190.4502877,41.84097512,23.62563515,22.17835999,20.42029953,19.36553764,18.83605766,0.084666081,0.06597124,0.045638599,0.033914369,0.02522606,23.57845306,-999,GALAXY,null
2.49049E+18,1.23766E+18,190.4555215,41.86036939,23.38566208,22.10945511,20.22949028,19.10853004,18.51950073,0.082906097,0.064599872,0.04468989,0.033209376,0.024701675,-999,23.88047981,GALAXY,null
2.49049E+18,1.23766E+18,190.5486994,41.75792775,23.1076107,21.74928284,20.52423668,19.58881569,18.90209389,0.083844207,0.065330841,0.045195572,0.033585154,0.024981184,23.36898613,24.10125923,GALAXY,null
2.49053E+18,1.23767E+18,190.4544325,32.60795213,21.74058151,19.72099686,18.16970634,17.61997414,17.24049377,0.072462149,0.056462016,0.039060161,0.029025884,0.021589926,24.13782883,-999,GALAXY,null
2.49053E+18,1.23767E+18,190.3194788,32.74675597,22.5517807,20.99619675,19.19368172,18.51668167,18.15310097,0.067943044,0.05294076,0.036624175,0.027215686,0.02024347,24.73922157,-999,GALAXY,null
2.49053E+18,1.23767E+18,191.1979049,32.74376636,24.85559464,21.68869781,20.79039192,19.93079185,19.66006851,0.063146815,0.049203571,0.034038804,0.025294479,0.018814445,22.51958847,-999,GALAXY,null
2.49053E+18,1.23767E+18,190.639756,32.76914769,22.39667511,21.90691376,20.5875473,19.55701637,19.2301712,0.063019335,0.049104236,0.033970084,0.025243413,0.018776461,23.26077843,-999,GALAXY,null
2.49053E+18,1.23767E+18,190.4358196,32.82342815,22.96530342,20.99432564,19.16530037,18.49738884,18.03371239,0.076795086,0.059838209,0.041395795,0.030761514,0.022880914,24.18362236,-999,GALAXY,null
2.49053E+18,1.23767E+18,190.8830318,32.84848712,26.07136917,22.16887474,20.42664337,19.19352531,18.85484123,0.058371343,0.045482557,0.031464621,0.023381585,0.017391603,23.95396042,-999,GALAXY,null
2.49053E+18,1.23767E+18,191.0747738,32.89537851,22.29981995,21.54831696,20.09722519,19.19684029,18.55060768,0.054296169,0.042307205,0.029267929,0.021749208,0.016177416,23.84835625,-999,GALAXY,null
2.49053E+18,1.23767E+18,190.6500354,33.09279181,24.84542465,21.23920631,19.82000542,19.29798317,18.7844944,0.062322877,0.048561562,0.033594664,0.024964437,0.018568953,23.55724144,-999,QSO,AGN
2.49053E+18,1.23767E+18,190.7443143,33.03694938,20.41529274,20.0570488,19.95259094,20.00747299,19.75497055,0.059813216,0.046606053,0.032241851,0.023959151,0.017821206,23.15540886,-999,QSO,BROADLINE
2.49053E+18,1.23767E+18,190.7443143,33.03694938,20.41529274,20.0570488,19.95259094,20.00747299,19.75497055,0.059813216,0.046606053,0.032241851,0.023959151,0.017821206,23.15540886,-999,QSO,BROADLINE
2.49053E+18,1.23767E+18,190.6117564,32.66993153,23.5666275,21.90522385,20.24764824,19.29562759,18.82558441,0.071860522,0.055993233,0.038735859,0.028784895,0.021410674,-999,24.30029869,GALAXY,null
2.49053E+18,1.23767E+18,190.1764388,32.21788552,24.07958412,22.31516647,20.99753761,20.03430939,19.70040894,0.0695467,0.054190315,0.03748861,0.027858054,0.020721273,23.27294159,23.90353394,GALAXY,null
2.49088E+18,1.23766E+18,193.1478866,40.72815863,21.23294067,21.19423103,21.25549889,20.95533943,20.92454338,0.050581772,0.039412975,0.027265714,0.020261347,0.015070721,23.02819443,-999,QSO,BROADLINE
2.49088E+18,1.23766E+18,192.3697012,40.80384474,22.50710297,21.97723961,20.55884743,19.64152908,19.18005753,0.065028146,0.050669488,0.035052918,0.026048074,0.019374982,23.59340477,-999,GALAXY,null
2.49088E+18,1.23766E+18,193.3025955,40.97901965,23.65637398,21.7984066,20.05157661,19.18054008,18.63368034,0.051374923,0.04003099,0.027693255,0.020579055,0.015307037,23.95861244,-999,GALAXY,null
2.49088E+18,1.23766E+18,193.3767653,41.02766048,22.41765785,21.65349579,21.40830421,21.83945656,21.6460495,0.051916547,0.04045302,0.027985213,0.020796012,0.015468413,24.58076859,-999,QSO,BROADLINE
2.49088E+18,1.23766E+18,193.0840311,41.13315455,23.15358925,22.00696564,20.33960915,19.49118996,18.87759018,0.053196732,0.041450534,0.028675288,0.021308811,0.015849842,22.62212563,-999,GALAXY,null
2.49088E+18,1.23766E+18,192.8501733,41.20678695,21.42949486,21.27469826,21.29409981,20.9470768,20.91195679,0.070175529,0.054680299,0.037827577,0.028109943,0.020908633,23.2557888,-999,QSO,null
2.49088E+18,1.23766E+18,192.7852249,41.29470555,24.92617035,26.59456635,21.81673431,20.52245712,19.77913666,0.057071798,0.04446996,0.030764112,0.022861032,0.017004408,23.51771545,-999,GALAXY,null
2.49088E+18,1.23766E+18,192.2565005,41.45943117,21.69053078,21.40174866,21.53104782,21.56691933,20.65696907,0.059067417,0.046024933,0.031839836,0.02366041,0.017598998,24.42554855,-999,QSO,BROADLINE
2.49088E+18,1.23766E+18,192.3480846,41.50180509,25.62078476,22.78316498,21.79786682,20.26205826,19.354702,0.059536085,0.046390116,0.032092467,0.023848142,0.017738637,24.61632156,-999,STAR,M5III (221615)
2.49088E+18,1.23766E+18,192.7625975,41.73187475,24.59985161,20.44077301,18.87031746,18.23804474,17.84966469,0.046350285,0.036115829,0.024984764,0.018566357,0.013809958,22.35974121,-999,GALAXY,null
2.49088E+18,1.23766E+18,193.4501424,40.89748677,23.77127838,24.36360741,21.39660454,20.27284241,19.59308815,0.044714287,0.034841068,0.024102891,0.01791103,0.013322516,-999,24.13801193,GALAXY,null
2.49088E+18,1.23766E+18,192.9546437,41.03657193,23.32673454,22.40124702,20.80960464,19.57771111,19.15712547,0.057848144,0.04507488,0.031182595,0.02317201,0.017235719,-999,23.93291473,GALAXY,null
2.49088E+18,1.23766E+18,193.4782149,41.01793384,22.7679882,22.01859093,21.65895271,21.09875107,20.73415184,0.050160713,0.039084889,0.027038744,0.020092685,0.014945266,23.46177483,24.28468513,QSO,null
